SMILES,CID,Self interaction (eV),BE with FA+ (eV),BE with PbI2 (eV)
C1C[C@H]2C[C@@H]1C[C@@H]2O,11040657,-0.225,-1.212,-1.225
C[C@@H](CC=O)SC,643442,-0.431,-1.203,-1.204
CCOC(=O)C(=C(C)C)C#N,136573,-0.397,-1.219,-0.978
CC(=O)OCC1=CC=CO1,12170,-0.316,-1.275,-0.903
COC(=O)C1=CCCCC1,87647,-0.517,-1.211,-1.23
CC1=CC=NN1C,136502,-0.476,-1.239724838,-1.27918944
CC(C)[Si](C(C)C)(O)O,12996544,-0.788,-1.258,-1.303
CCC(=O)/C=C/C,5365811,-0.265,-1.199,-1.206
CC(C)CCO,31260,-0.238,-1.215,-1.243
CC(C)OC(=O)COC,542192,-0.035,-1.205840815,-0.996232701
CC(C)(COC)O,77137,-0.568,-1.685,-1.302
CCOC(=O)[C@H](C)OC,5702567,-0.464,-1.200674144,-1.005630076
COC(=O)C=C1COC1,46839994,-0.221,-1.195,-1.2
CC(C)(C)OCCO,24232,-0.269,-1.684,-0.915
CCCCCCCO,8129,-0.194,-1.206,-1.229
CCCCC(CC)O,11520,-0.039,-1.235,-1.28
C(C(CF)O)F,67985,-0.319,-1.178,-1.118
CCOC(C)(OCC)OCC,66221,-0.29,-1.181,-1.156
CCN(CC)CCCO,12159,-0.224,-1.224,-1.269
CCO[SiH](C)C,61772,-0.034,-1.189,-1.193
CC(C)OC(=O)CO,69338,-0.289,-1.238,-0.931
CCOC(=O)C(C(=O)C)F,230078,-0.358,-1.213,-0.969
C/C=C(\C)/C(=O)C,5364579,-0.446,-1.227,-0.946
CCOC(=O)CC(C)N,98103,-0.314,-1.756,-1.045
CCCC[C@H](C)O,638097,-0.215,-1.227,-1.275
CCC/C=C/COC(=O)C,2733294,-0.383,-1.263242389,-1.319286613
CC(C)C[C@@H](CO)N,111307,-0.196,-1.235,-1.288
CC=C(C)C(=O)C,79048,-0.45,-1.227,-0.943
CN1CC[C@H](C1)O,6951332,-0.347,-1.194,-1.215
CSCCCO,10448,-0.484,-1.194,-1.218
C1C(COCO1)O,78475,-0.279,-1.226,-0.94
CC(=O)OCCN(C)C,15013,-0.229,-1.219,-0.95
CCO[Si](OCC)(OCC)OCC,6517,-0.29,-1.704,-1.294
CC(C)(C)NC=O,17045,-0.281,-1.249,-1.31
C1CC(C1)CO,78130,-0.213,-1.203,-1.243
CC[C@H](C)O,444683,-0.267,-1.191,-1.217
CCC1=NC=C(N=C1C)C,26334,-0.38,-1.171,-1.109
CC[C@H](CO)O,641012,-0.233,-1.216955291,-0.94986218
CCCCO,263,-0.192,-1.192,-1.223
CCCC(=O)OCC1CO1,137606,-0.421,-1.221,-0.942
CCC(C)O,6568,-0.195,-1.19,-1.219
CCCCC=CC=O,17167,-0.135,-1.2,-0.977
COCCOCC=C,639880,-0.301,-1.33,-0.843
CC1=CSC=N1,12748,-0.349,-1.19,-1.222
CC(C)(C)OC(=O)CN,151417,-0.288,-1.402,-1.404
COCC(OC)OC,47520,-0.03,-1.246966757,-1.313652485
CCC(CO)O,11429,-0.669,-1.269,-0.884
COCCC1=CC=CC=C1,19089,-0.225,-1.264,-1.332
CCNCCCCO,546882,-0.2,-1.192,-1.231
CC/C=C\CO,5364919,-0.38,-1.172,-1.166
CC(=C)COCCO,13459383,-0.307,-1.205509148,-0.959552107
